Model,Group,Type,MAPE
SOC30,NCMNCACY25-05_2,Current,0.936052596
SOC30,NCMNCACY25-05_2,Current,1.013826216
SOC30,NCMNCACY25-05_4,Current,1.180422739
SOC30,NCMNCACY25-05_4,Current,1.589652994
SOC30,NCMNCACY25-05_4,Current,2.044561523
SOC30,NCMNCACY25-05_4,Current,0.708168741
SOC30,NCMNCACY25-05_4,Current,1.302019263
SOC30,NCMNCACY25-05_4,Current,0.840906291
SOC30,NCMNCACY25-05_4,Current,1.225347582
SOC30,NCMNCACY25-05_4,Current,1.115906508
SOC30,NCMNCACY25-05_4,Current,1.279361134
SOC30,NCMNCACY25-05_4,Current,0.858780336
SOC40,NCACY45-05_1,Current,1.434088736
SOC40,NCACY45-05_1,Current,0.880593902
SOC40,NCACY45-05_1,Current,0.798555487
SOC40,NCACY45-05_1,Current,0.902071683
SOC40,NCACY45-05_1,Current,0.784265441
SOC40,NCACY45-05_1,Current,1.101126887
SOC40,NCACY45-05_1,Current,0.978325107
SOC40,NCACY45-05_1,Current,0.836408446
SOC40,NCACY45-05_1,Current,0.626197213
SOC40,NCACY45-05_1,Current,1.013910438
SOC40,NCACY35-05_1,Current,1.763961636
SOC40,NCACY35-05_1,Current,1.25675006
SOC40,NCACY35-05_1,Current,1.672843275
SOC40,NCACY35-05_1,Current,1.594944484
SOC40,NCACY35-05_1,Current,2.113721942
SOC40,NCACY35-05_1,Current,2.115001719
SOC40,NCACY35-05_1,Current,1.477024522
SOC40,NCACY35-05_1,Current,2.086397435
SOC40,NCACY35-05_1,Current,1.685833771
SOC40,NCACY35-05_1,Current,1.600485975
SOC40,NCACY25-025_1,Current,3.130586249
SOC40,NCACY25-025_1,Current,3.447481875
SOC40,NCACY25-025_1,Current,2.753569105
SOC40,NCACY25-025_1,Current,3.886421235
SOC40,NCACY25-025_1,Current,3.109935191
SOC40,NCACY25-025_1,Current,3.780339206
SOC40,NCACY25-025_1,Current,2.967293912
SOC40,NCACY25-025_1,Current,3.015739018
SOC40,NCACY25-025_1,Current,3.184005
SOC40,NCACY25-025_1,Current,3.031616542
SOC40,NCACY25-05_1,Current,2.052410732
SOC40,NCACY25-05_1,Current,1.964481442
SOC40,NCACY25-05_1,Current,1.778494142
SOC40,NCACY25-05_1,Current,1.612146502
SOC40,NCACY25-05_1,Current,1.809885051
SOC40,NCACY25-05_1,Current,1.768354339
SOC40,NCACY25-05_1,Current,2.65807047
SOC40,NCACY25-05_1,Current,1.718356984
SOC40,NCACY25-05_1,Current,1.843767922
SOC40,NCACY25-05_1,Current,2.510900825
SOC40,NCACY25-1_1,Current,1.035983436
SOC40,NCACY25-1_1,Current,0.962333906
SOC40,NCACY25-1_1,Current,1.075819027
SOC40,NCACY25-1_1,Current,0.983522339
SOC40,NCACY25-1_1,Current,1.225890426
SOC40,NCACY25-1_1,Current,1.79474557
SOC40,NCACY25-1_1,Current,1.032993131
SOC40,NCACY25-1_1,Current,2.102170875
SOC40,NCACY25-1_1,Current,2.567943355
SOC40,NCACY25-1_1,Current,2.000117718
SOC40,NCMCY45-05_1,Current,0.607642523
SOC40,NCMCY45-05_1,Current,1.235790723
SOC40,NCMCY45-05_1,Current,1.006288321
SOC40,NCMCY45-05_1,Current,0.871790457
SOC40,NCMCY45-05_1,Current,1.025921622
SOC40,NCMCY45-05_1,Current,0.865586441
SOC40,NCMCY45-05_1,Current,0.65069734
SOC40,NCMCY45-05_1,Current,0.57687425
SOC40,NCMCY45-05_1,Current,1.355204447
SOC40,NCMCY45-05_1,Current,0.544885992
SOC40,NCMCY35-05_1,Current,0.577207081
SOC40,NCMCY35-05_1,Current,0.68899584
SOC40,NCMCY35-05_1,Current,0.54430318
SOC40,NCMCY35-05_1,Current,0.546678692
SOC40,NCMCY35-05_1,Current,0.802229333
SOC40,NCMCY35-05_1,Current,0.938199099
SOC40,NCMCY35-05_1,Current,0.554839132
SOC40,NCMCY35-05_1,Current,1.171369277
SOC40,NCMCY35-05_1,Current,0.573570801
SOC40,NCMCY35-05_1,Current,0.611628624
SOC40,NCMCY25-05_1,Current,1.093497063
SOC40,NCMCY25-05_1,Current,0.966217787
SOC40,NCMCY25-05_1,Current,0.677880534
SOC40,NCMCY25-05_1,Current,1.25303259
SOC40,NCMCY25-05_1,Current,1.015686676
SOC40,NCMCY25-05_1,Current,0.868486038
SOC40,NCMCY25-05_1,Current,1.371611205
SOC40,NCMCY25-05_1,Current,0.812391213
SOC40,NCMCY25-05_1,Current,0.78334485
SOC40,NCMCY25-05_1,Current,0.980912808
SOC40,NCMNCACY25-05_1,Current,1.415701784
SOC40,NCMNCACY25-05_1,Current,1.366637649
SOC40,NCMNCACY25-05_1,Current,0.931047866
SOC40,NCMNCACY25-05_1,Current,0.961398324
SOC40,NCMNCACY25-05_1,Current,0.72886404
SOC40,NCMNCACY25-05_1,Current,0.630004943
SOC40,NCMNCACY25-05_1,Current,1.964591478
SOC40,NCMNCACY25-05_1,Current,0.79416024
SOC40,NCMNCACY25-05_1,Current,0.591464923
SOC40,NCMNCACY25-05_1,Current,0.682699733
SOC40,NCMNCACY25-05_2,Current,1.293168287
SOC40,NCMNCACY25-05_2,Current,1.313908702
SOC40,NCMNCACY25-05_2,Current,1.299556604
SOC40,NCMNCACY25-05_2,Current,1.399263314
SOC40,NCMNCACY25-05_2,Current,1.81517307
SOC40,NCMNCACY25-05_2,Current,1.808089435
SOC40,NCMNCACY25-05_2,Current,2.135075853
SOC40,NCMNCACY25-05_2,Current,1.59469395
SOC40,NCMNCACY25-05_2,Current,1.255038433
